media_type,channel_name,is_public_channel,year,hour,women_expression_rate,speech_rate,nb_hours_analyzed
radio,Chérie FM,False,2002,5,59.74380215833338,17.874992620867214,28.0
radio,Chérie FM,False,2002,6,55.01294802975991,26.42716224274898,20.0
radio,Chérie FM,False,2002,8,53.777281187391104,30.158545719766106,25.0
radio,Chérie FM,False,2002,11,39.89146073121186,12.533960950707723,21.0
radio,Chérie FM,False,2002,13,48.86878865192953,16.901815973623695,23.0
radio,Chérie FM,False,2002,16,39.93898768236947,17.721199583471513,24.0
radio,Chérie FM,False,2002,22,50.30144727103788,9.828919027053464,21.0
radio,Chérie FM,False,2003,5,52.252091791089065,17.353214173974685,47.0
radio,Chérie FM,False,2003,6,58.033630175947906,29.30787867333861,31.0
radio,Chérie FM,False,2003,7,50.5445565077316,32.417350663492755,29.0
radio,Chérie FM,False,2003,8,55.8893032911166,31.4371904949866,42.0
radio,Chérie FM,False,2003,9,50.31612381266296,25.41702232613891,38.0
radio,Chérie FM,False,2003,10,35.74413636167209,17.604468495053965,30.0
radio,Chérie FM,False,2003,11,37.18435071765469,14.641166961268551,28.0
radio,Chérie FM,False,2003,12,45.213736671724526,23.15384189881577,41.0
radio,Chérie FM,False,2003,13,52.55898990866302,17.259097702717703,33.0
radio,Chérie FM,False,2003,14,39.66023435117831,17.966407193345507,32.0
radio,Chérie FM,False,2003,15,37.821798729521895,16.835091183041513,36.0
radio,Chérie FM,False,2003,16,39.70037931142806,16.679159401069164,34.0
radio,Chérie FM,False,2003,17,46.5485376209669,20.66655048404168,40.0
radio,Chérie FM,False,2003,18,50.14854654287014,18.049021901518643,33.0
radio,Chérie FM,False,2003,19,47.69491204624594,17.489683161130788,36.0
radio,Chérie FM,False,2003,20,36.04229700489564,14.325926825949347,34.0
radio,Chérie FM,False,2003,21,30.935717802419404,12.542710864726706,34.0
radio,Chérie FM,False,2003,22,44.219146171853126,9.970250854077104,39.0
radio,Chérie FM,False,2003,23,40.03851897926327,8.807178153060171,39.0
radio,Chérie FM,False,2004,5,65.26398723371744,15.883389480892554,28.0
radio,Chérie FM,False,2004,6,60.955861594805484,31.384027960373896,37.0
radio,Chérie FM,False,2004,7,53.070219948233024,32.265453593567145,31.0
radio,Chérie FM,False,2004,8,56.33223615372669,31.551265697046738,38.0
radio,Chérie FM,False,2004,9,58.187153208470946,24.620301851751965,40.0
radio,Chérie FM,False,2004,10,37.57989728234877,13.737463989251788,39.0
radio,Chérie FM,False,2004,11,38.179471582997095,10.93848841737376,33.0
radio,Chérie FM,False,2004,12,48.24881036291321,19.51985764799675,43.0
radio,Chérie FM,False,2004,13,49.37070353254794,17.086470335854788,36.0
radio,Chérie FM,False,2004,14,39.687744962011266,14.860069899959955,37.0
radio,Chérie FM,False,2004,15,35.92240759097445,14.341802325284595,36.0
radio,Chérie FM,False,2004,16,40.19902130069551,13.744915541024744,41.0
radio,Chérie FM,False,2004,17,50.43573489657924,18.194512259966398,39.0
radio,Chérie FM,False,2004,18,51.69361341300394,15.56516138266657,37.0
radio,Chérie FM,False,2004,19,48.42626949581981,15.575187179551486,36.0
radio,Chérie FM,False,2004,20,42.13353236938482,13.153235848060374,48.0
radio,Chérie FM,False,2004,21,42.32251924675831,10.42300080607799,52.0
radio,Chérie FM,False,2004,22,53.472794349489504,10.647890932534628,36.0
radio,Chérie FM,False,2004,23,58.26870411864052,10.343867094702512,40.0
radio,Chérie FM,False,2005,5,66.37796765141724,15.138025843989764,35.0
radio,Chérie FM,False,2005,6,55.65259059057136,31.79623664887865,31.0
radio,Chérie FM,False,2005,7,50.417068542967826,32.779187379870336,43.0
radio,Chérie FM,False,2005,8,56.029231737598316,32.12383295231124,35.0
radio,Chérie FM,False,2005,9,54.55056151619625,25.463615062281917,48.0
radio,Chérie FM,False,2005,10,36.45866209882492,14.297687202272735,28.0
radio,Chérie FM,False,2005,11,34.51912929656189,11.180951155914073,44.0
radio,Chérie FM,False,2005,12,41.064846225405525,20.86904653691789,42.0
radio,Chérie FM,False,2005,13,43.9308031833538,19.154330415489447,38.0
radio,Chérie FM,False,2005,14,39.22134701680949,14.954357680974642,30.0
radio,Chérie FM,False,2005,15,34.825408010586834,13.551152129526645,44.0
radio,Chérie FM,False,2005,16,37.2928208533724,14.252746174858148,34.0
radio,Chérie FM,False,2005,17,54.123128335176276,19.077268095132556,37.0
radio,Chérie FM,False,2005,18,56.39920509279531,17.22631745441573,24.0
radio,Chérie FM,False,2005,19,51.079005321689586,16.488301675446575,40.0
radio,Chérie FM,False,2005,20,33.52961698900265,14.4894759260407,38.0
radio,Chérie FM,False,2005,21,28.360121127416733,11.82025161941236,34.0
radio,Chérie FM,False,2005,22,38.30064101631688,13.102069944594483,38.0
radio,Chérie FM,False,2005,23,31.51917304977441,10.832933392373711,39.0
radio,Chérie FM,False,2006,5,69.89682173175503,15.424869573583738,39.0
radio,Chérie FM,False,2006,6,56.93001293092785,33.069840755663385,34.0
radio,Chérie FM,False,2006,7,50.78979144310174,33.927881478051944,44.0
radio,Chérie FM,False,2006,8,56.185132251970174,32.04473999499162,39.0
radio,Chérie FM,False,2006,9,49.352033546287224,22.479132886433593,39.0
radio,Chérie FM,False,2006,10,36.97826409195652,14.76921227550833,28.0
radio,Chérie FM,False,2006,11,36.67095793799842,13.758683265128896,34.0
radio,Chérie FM,False,2006,12,48.39943470246886,20.271239028042128,33.0
radio,Chérie FM,False,2006,13,48.203541747506584,19.594936433871464,40.0
radio,Chérie FM,False,2006,14,36.75593074449088,14.185949521704897,27.0
